No.,Ticker,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Price,Change,Volume
225,ADMA,231.63M,-,-,-,5.75,3.04,3.88,-,38.90%,45.90%,13.30%,-,37.80%,2.46,-0.40%,"4,324,405"
226,HOTH,32.04M,-,-,-,-,6.18,5.93,-,-69.50%,39.70%,-,-,-,2.47,6.47%,"2,241,039"
227,EYES,56.00M,-,-,-,112.00,124.00,23.33,-,46.00%,-,27.30%,-,-0.10%,2.48,18.66%,"20,485,523"
228,YJ,524.54M,-,46.11,-,0.51,2.42,3.01,-,26.40%,92.86%,-,-,-,2.49,-4.60%,"685,077"
229,MKGI,44.32M,-,-,-,443.22,1.84,11.98,-,-261.20%,-,37.50%,-,-16.60%,2.49,6.41%,"783,267"
230,WSG,345.51M,-,5.85,-,0.51,1.81,-,-,-633.70%,326.30%,-,14.63%,-,2.49,0.46%,"33,707"
231,ASLN,79.03M,-,-,-,416.56,-,5.41,-,-5.20%,-74.40%,-14.80%,-,-,2.50,20.77%,"3,041,786"
232,VYNE,417.43M,-,-,-,25.00,8.33,5.72,-,-30.30%,51.40%,-,-,-,2.50,-5.30%,"41,706,189"
233,CDTX,104.18M,-,-,-,10.21,3.68,2.29,-,48.80%,-7.10%,-9.90%,-,-,2.50,-3.10%,"510,537"
234,MOHO,81.32M,-,-,-,0.24,1.16,1.58,-,104.40%,-,-,-,-,2.51,-5.28%,"51,580"
235,XELA,359.43M,-,-,-,0.26,-,9.66,-,-199.60%,-,-,-,-,2.51,-4.24%,"5,615,651"
236,MDRR,11.69M,-,-,-,1.21,0.88,11.69,-,30.70%,69.30%,-,-,-,2.52,0.00%,"668,495"
237,ALYA,130.23M,-,-,-,-,3.14,-,-,-,-,-18.75%,15.00%,-,2.55,5.37%,"58,166"
238,VISL,52.61M,-,-,-,2.15,3.07,16.97,-,77.70%,-,-,20.00%,115.10%,2.55,-5.56%,"8,542,092"
239,AAME,53.32M,77.58,-,-,0.28,0.41,5.99,11.35,28.70%,-,-17.10%,-,3.60%,2.56,0.00%,"4,693"
240,LPTX,149.65M,-,-,-,136.05,3.67,2.58,-,10.00%,34.40%,-12.40%,-2.49%,-,2.57,-1.15%,"759,978"
321,TRVI,59.03M,-,-,-,-,1.62,1.11,-,-37.60%,-5.80%,-,-,-,3.17,-4.23%,"150,211"
322,CYCN,107.02M,-,-,-,29.73,1.35,1.60,-,-6.80%,83.50%,-,-,-,3.17,-4.52%,"194,149"
323,HGBL,108.69M,25.24,12.87,-,4.63,5.78,18.74,41.80,2.60%,30.00%,16.50%,-,5.50%,3.18,6.35%,"84,684"
324,TEDU,176.73M,-,-,-,-,-,3.18,-,-80.60%,-,-52.50%,-1.25%,19.60%,3.19,0.31%,"108,673"
325,EDTK,37.86M,3.86,-,-,1.24,0.71,1.48,-,15.00%,-,-,-,-,3.20,-2.74%,"56,062"
326,DSWL,51.96M,-,-,-,0.94,0.64,1.12,4.64,-131.20%,-,11.50%,-,11.40%,3.23,0.12%,"8,256"
327,AKTX,124.19M,-,-,-,-,23.14,10.10,-,12.60%,0.00%,16.30%,-,-,3.24,6.93%,"276,790"
328,AUTO,43.80M,-,-,-,0.51,2.53,3.88,-,61.70%,63.30%,-42.30%,25.00%,1.40%,3.24,0.00%,"240,209"
329,CNFR,28.99M,-,-,-,0.29,0.74,3.81,5.92,18.40%,96.70%,1.90%,15.00%,9.50%,3.25,-1.52%,"261,267"
330,CPIX,47.68M,-,-,-,1.17,1.03,-,9.17,48.50%,100.00%,-29.50%,30.00%,5.20%,3.25,-1.52%,"54,296"
331,TAOP,23.11M,-,-,-,2.22,-,77.03,-,-310.60%,-,35.80%,23.00%,-18.60%,3.25,-0.91%,"320,692"
332,LGHL,59.98M,7.95,-,-,3.55,5.93,7.41,-,396.50%,-,-,-,-,3.26,3.82%,"325,401"
333,JAGX,382.56M,-,-,-,46.09,65.20,294.28,-,94.10%,-,-,40.00%,-,3.26,-2.10%,"18,184,785"
334,NHLD,45.35M,-,-,-,0.20,0.95,1.66,-,-593.00%,-,-,-,7.10%,3.27,0.31%,"29,085"
335,ALSK,175.97M,18.22,-,-,0.74,1.02,5.45,8.38,-41.60%,-,29.30%,-,-6.00%,3.28,-0.30%,"1,493,315"
336,GECC,72.30M,-,8.44,-,2.99,0.60,-,-,-37.80%,-36.10%,-,-,-,3.29,0.30%,"123,613"
337,KBSF,8.54M,-,-,-,0.72,0.17,-,-,99.50%,-,-15.00%,-,-22.50%,3.31,0.00%,"93,970"
338,FPAY,65.34M,-,9.02,-,0.68,-,9.61,-,92.40%,384.60%,41.70%,-,77.70%,3.31,-7.80%,"308,077"
339,CERC,255.64M,-,-,-,44.08,6.51,7.65,-,64.30%,43.80%,1.40%,-,-,3.32,-2.35%,"1,377,442"
340,CTIC,243.86M,-,-,-,-,5.20,4.25,-,-31.70%,-10.10%,36.10%,-,-43.90%,3.33,-1.19%,"416,627"
441,PTPI,41.51M,-,-,-,4.32,-,51.89,-,-0.10%,-,-,-,-,3.95,-1.50%,"13,387"
442,NYMT,1.48B,-,9.68,-,10.94,0.85,2.28,-,5.40%,139.00%,-15.50%,6.59%,10.00%,3.95,-0.50%,"5,572,337"
443,NCMI,315.21M,-,-,-,1.42,-,1.44,4.82,145.10%,92.70%,15.40%,-6.33%,2.50%,3.95,4.50%,"857,950"
444,TLSA,385.33M,-,-,-,-,-,-,-,-,-,-,-,-,3.96,6.74%,"1,190,140"
445,PIXY,72.93M,-,-,-,8.10,30.54,8.01,-,83.50%,-,-,-,244.90%,3.97,11.52%,"5,505,617"
446,INM,27.86M,-,-,-,-,-,-,-,-,-,-,-,-,3.98,-3.68%,"68,812"
447,KXIN,289.87M,-,-,-,1.77,-,289.87,-,-,-,-,-,-,3.99,-0.99%,"3,455,460"
448,TRMT,33.25M,4.13,4.64,-,1.96,0.36,3.02,15.83,250.90%,-24.30%,-,-,-,4.02,-1.47%,"17,248"
449,SYBX,146.53M,-,-,-,81.41,1.21,1.44,-,16.40%,6.60%,23.60%,-,-,4.03,-1.47%,"320,431"
450,SIEB,121.67M,46.86,-,-,2.53,3.42,27.04,-,-69.80%,-,19.60%,-,12.50%,4.03,7.75%,"73,107"
451,MOGO,122.05M,-,-,-,-,-,-,-,-,-,-,-,-,4.03,-6.28%,"1,355,687"
452,GLYC,190.30M,-,-,-,19.03,1.38,1.33,-,-13.80%,-17.30%,-17.30%,-,-,4.03,-1.71%,"1,096,491"
453,DLPN,25.64M,-,-,-,1.04,1.32,2.79,-,57.20%,63.30%,37.10%,-,64.60%,4.05,-0.25%,"234,814"
454,STKS,120.70M,10.68,101.50,8.90,0.81,4.32,4.54,100.59,503.80%,118.20%,23.40%,1.20%,19.60%,4.06,3.84%,"42,225"
455,SRTS,66.30M,-,-,-,5.10,3.27,-,221.00,26.90%,72.90%,21.00%,-,36.20%,4.06,8.56%,"32,423"
456,BDSI,418.52M,29.49,10.23,1.18,2.87,4.28,4.18,-,74.90%,101.01%,30.30%,25.00%,23.40%,4.07,-3.10%,"906,324"
457,SELF,38.03M,-,-,-,4.23,0.94,23.77,-,-5.60%,-,-37.80%,-,28.90%,4.08,0.74%,"19,449"
458,FGF,20.48M,-,-,-,-,1.27,1.35,-,141.10%,-,-25.40%,-,-21.70%,4.08,9.09%,"255,455"
459,BCDA,60.41M,-,-,-,201.36,12.39,8.16,-,20.60%,40.70%,-,-,10.70%,4.09,-3.99%,"206,171"
460,SGLB,30.39M,-,-,-,37.99,3.15,6.75,-,33.50%,-,12.00%,-,-6.00%,4.09,-1.45%,"432,679"
601,KZR,241.84M,-,-,-,-,1.83,1.61,-,18.50%,-10.40%,-,-,-,5.50,-4.01%,"163,814"
602,ELSE,15.01M,-,-,-,1.90,1.47,1.65,-,-,-,-28.70%,-,3.20%,5.52,-9.06%,"241,518"
603,MCEP,79.00M,-,5.52,-,1.81,1.01,-,-,-,1350.00%,-18.09%,1.55%,-,5.52,0.00%,0
604,WETF,806.14M,-,20.83,-,3.16,2.85,8.38,-,-135.90%,11.34%,-17.00%,12.46%,7.90%,5.52,2.79%,"589,503"
605,UK,443.20M,-,-,-,-,0.25,4432.01,-,-,-,-,-,-,5.52,11.52%,"420,653"
606,ELYS,92.52M,-,-,-,2.64,4.65,8.73,-,-137.10%,-,-16.00%,-,82.80%,5.53,4.54%,"746,515"
607,AQST,184.26M,-,-,-,3.34,-,10.78,-,11.80%,-23.10%,-36.50%,-,90.00%,5.53,-2.12%,"660,205"
608,NHTC,62.99M,-,-,-,1.00,0.86,0.69,-,-119.30%,-,-18.30%,-,-9.00%,5.55,-0.36%,"12,555"
609,PLYA,915.14M,-,-,-,2.61,1.17,4.68,-,-121.60%,38.90%,51.00%,15.48%,11.60%,5.55,-1.60%,"956,155"
610,PSHG,26.51M,-,-,-,0.53,0.03,0.71,2.21,80.00%,-,-14.90%,10.00%,-13.10%,5.57,0.72%,"42,543"
611,FNHC,75.47M,-,9.28,-,0.17,0.38,1.53,-,-93.30%,112.10%,-51.80%,20.00%,15.60%,5.57,-2.28%,"47,945"
612,PRQR,274.13M,-,-,-,23.43,3.37,2.54,-,-27.00%,-18.50%,-21.50%,-,43.90%,5.59,-3.45%,"2,292,955"
613,ADAP,837.38M,-,-,-,261.68,2.30,2.09,-,-33.20%,-5.60%,-46.40%,1.00%,-30.30%,5.59,-2.78%,"784,147"
614,CUBA,34.35M,-,-,-,53.03,1.18,-,-,-,-,-,-,-,5.60,0.00%,"60,446"
615,KERN,109.84M,-,-,-,8.39,2.12,7.68,-,36.20%,38.60%,-,-,-,5.61,4.66%,"2,649,917"
